    N   =   10000
      x:            y:             z:          PE:            KE:
  -0.0060787000   0.0064400000  8.8063900E-05
  -0.0061581091   0.0063841367  9.0452112E-05
  -0.0062367641   0.0063273199  9.2835377E-05
  -0.0063147252   0.0062695658  9.5219500E-05
  -0.0063920377   0.0062108462  9.7606305E-05
  -0.0064687181   0.0061511219  9.9994859E-05
  -0.0065447639   0.0060903545  0.00010238307
  -0.0066201593   0.0060285088  0.00010476812
  -0.0066948765   0.0059655529  0.00010714646
  -0.0067688743   0.0059014592  0.00010951358
  -0.0068420919   0.0058362143  0.00011186427
  -0.0069144687   0.0057698438  0.00011419630
  -0.0069859815   0.0057023799  0.00011651122
  -0.0070566118   0.0056338336  0.00011880900
  -0.0071263306   0.0055642144  0.00012108819
  -0.0071951056   0.0054935384  0.00012334714
  -0.0072629064   0.0054218282  0.00012558445
  -0.0073297069   0.0053491098  0.00012779888
  -0.0073954836   0.0052754083  0.00012998884
  -0.0074602037   0.0052007523  0.00013215185
  -0.0075238395   0.0051252028  0.00013428840
  -0.0075864104   0.0050488237  0.00013640382
  -0.0076479555   0.0049716452  0.00013850315
  -0.0077085108   0.0048936721  0.00014059008
  -0.0077681032   0.0048148917  0.00014266724
  -0.0078267484   0.0047352781  0.00014473626
  -0.0078844477   0.0046547952  0.00014679750
  -0.0079411838   0.0045733968  0.00014884923
  -0.0079969029   0.0044910357  0.00015088638
  -0.0080515230   0.0044077069  0.00015290440
  -0.0081049852   0.0043234360  0.00015490274
  -0.0081572429   0.0042382465  0.00015688107
  -0.0082082497   0.0041521642  0.00015883829
  -0.0082579593   0.0040652222  0.00016077295
  -0.0083063304   0.0039774615  0.00016268361
  -0.0083533302   0.0038889281  0.00016456897
  -0.0083989339   0.0037996631  0.00016642703
  -0.0084431031   0.0037096992  0.00016825281
  -0.0084857824   0.0036191030  0.00017004156
  -0.0085269501   0.0035279707  0.00017179321
  -0.0085666160   0.0034363938  0.00017350953
  -0.0086048098   0.0033444534  0.00017519297
  -0.0086415779   0.0032522190  0.00017684664
  -0.0086769816   0.0031597444  0.00017847431
  -0.0087110956   0.0030670619  0.00018008040
  -0.0087440025   0.0029741692  0.00018166872
  -0.0087757595   0.0028810191  0.00018323874
  -0.0088063756   0.0027875693  0.00018478755
  -0.0088358537   0.0026937958  0.00018631451
  -0.0088641946   0.0025996736  0.00018781961
  -0.0088913887   0.0025051768  0.00018930240
  -0.0089174162   0.0024102836  0.00019076207
  -0.0089422499   0.0023149812  0.00019219781
  -0.0089658635   0.0022192661  0.00019360946
  -0.0089882402   0.0021231326  0.00019499720
  -0.0090093490   0.0020265512  0.00019635752
  -0.0090291190   0.0019295114  0.00019768422
  -0.0090474790   0.0018320383  0.00019897338
  -0.0090643695   0.0017341743  0.00020022281
  -0.0090797400   0.0016359732  0.00020143120
  -0.0090935489   0.0015374998  0.00020259809
