    N   =   10000
      x:            y:             z:          PE:            KE:
     0.32882700    -0.20378800   -0.047812000
     0.33973249     0.12909995   -0.021609478
     0.10821767     0.37598015    0.019801653
    -0.19182624     0.40152953    0.049412109
    -0.41570938     0.26480730    0.058775908
    -0.51669452    0.050440718    0.050521552
    -0.48728587    -0.17524537    0.029381465
    -0.33503072    -0.35459491  0.00075955910
   -0.084198910    -0.42570063   -0.028058901
     0.19843795    -0.31967136   -0.045319307
     0.35825691   -0.018783877   -0.035390001
     0.26217483     0.29935895 -0.00057705507
    0.017712473     0.45561009    0.034617048
    -0.23607067     0.44206012    0.056790243
    -0.42452852     0.30402189    0.062798301
    -0.50774574    0.090732580    0.053003490
    -0.45992107    -0.14487254    0.029364959
    -0.26760377    -0.33250339  -0.0036070096
    0.041565500    -0.36845500   -0.034902237
     0.31929898    -0.16444257   -0.043703967
     0.37374844     0.15549159   -0.022551067
     0.23619277     0.39970128    0.010026011
    0.013630979     0.50629283    0.039154515
    -0.21474373     0.47591469    0.057623203
    -0.39115081     0.32730739    0.061663466
    -0.46371641    0.091351131    0.049040564
    -0.37998781    -0.17430038    0.019654614
    -0.11275992    -0.35170295   -0.019351401
     0.22545288    -0.28783420   -0.045151772
     0.41172046   -0.033699243   -0.041465810
     0.40556517     0.23790313   -0.018701779
     0.26533987     0.43380110    0.010173716
    0.053023494     0.51646822    0.036408812
    -0.17470424     0.47018210    0.053519578
    -0.35543811     0.29229623    0.055565483
    -0.40751072   0.0075478932    0.037076968
    -0.24377628    -0.27917916  -0.0013684077
    0.084357274    -0.36826177   -0.038741808
     0.35600326    -0.23092055   -0.052430113
     0.47511964   0.0045699961   -0.044106364
     0.44719019     0.23974306   -0.022320360
     0.30227713     0.41425957   0.0052394129
    0.078226000     0.48417134    0.031509991
    -0.17158765     0.41144892    0.048487581
    -0.35579516     0.17430567    0.046010787
    -0.33578436    -0.16359128    0.016568103
   -0.086047115    -0.38448676   -0.024385046
     0.20710913    -0.38772593   -0.051533636
     0.41730634    -0.24091966   -0.058810640
     0.50467957   -0.023897841   -0.049083163
     0.46230264     0.19981843   -0.026906919
     0.29733267     0.37219760   0.0023191544
    0.035998765     0.42821830    0.030875472
    -0.24510880     0.29683296    0.045930520
    -0.37671591   -0.021069081    0.032030037
    -0.25511834    -0.32300197  -0.0037908939
  -0.0070399612    -0.45789725   -0.037562732
     0.24033433    -0.42972233   -0.057943460
     0.41897063    -0.28259400   -0.062297853
     0.49012998   -0.064071582   -0.050959147
     0.42716678     0.17210460   -0.025874994
     0.21704839     0.35074596   0.0080054707
    -0.10232659     0.36063237    0.038116775
    -0.35920013     0.12960265    0.042806961
    -0.38539375    -0.18600974    0.019425482
    -0.23554993    -0.41406156   -0.012947578
   -0.011195055    -0.50550566   -0.040991311
     0.21370574    -0.46249630   -0.058097186
     0.38258348    -0.30300358   -0.060544867
     0.44192315   -0.058572772   -0.046003547
     0.33696331     0.20742993   -0.014628572
    0.048502730     0.36374946    0.024614832
    -0.28003349     0.26750384    0.046894074
    -0.44104064   0.0060465324    0.040304996
    -0.41776896    -0.25787991    0.016610918
    -0.26862856    -0.44232506   -0.012133196
   -0.052550845    -0.51266159   -0.037691929
     0.17454923    -0.45293339   -0.053632401
     0.34780604    -0.26044739   -0.053784605
     0.37998085    0.034906570   -0.032589077
     0.18723717     0.30989501   0.0075732631
    -0.14352572     0.36669860    0.042565064
    -0.39732443     0.21334734    0.053322792
    -0.49919882   -0.023714935    0.043303923
    -0.45825219    -0.25407212    0.020732529
    -0.30350598    -0.42027423  -0.0070343709
   -0.072562363    -0.47798246   -0.032924153
     0.17812534    -0.38766030   -0.048527489
     0.34812780    -0.13057523   -0.043101434
     0.29542848     0.20723221   -0.010650741
    0.031835947     0.40054414    0.029335952
    -0.25308307     0.38313123    0.054057823
    -0.44988230     0.22698865    0.059359363
    -0.52398359   0.0072819223    0.048211576
    -0.46862641    -0.21466044    0.025006286
    -0.29066208    -0.37983100  -0.0048057850
   -0.019086498    -0.41950025   -0.032948140
     0.25742826    -0.26152083   -0.045391043
     0.35748012    0.068616460   -0.027578208
     0.21353049     0.35164749   0.0087665155
   -0.036476856     0.46571544    0.041031425
    -0.27713195     0.42335166    0.059654407
    -0.44592175     0.26713030    0.062380621
    -0.50482536    0.043213306    0.049495033
    -0.42620222    -0.19336114    0.022960162
    -0.19798050    -0.36162840   -0.011714600
     0.12882384    -0.34333054   -0.040185282
     0.36089186   -0.089618794   -0.040727275
     0.36118979     0.21860756   -0.015554633
     0.20076057     0.43044534    0.016483770
   -0.024879932     0.50695958    0.043444671
    -0.24615387     0.45121022    0.059195982
    -0.40717069     0.28051312    0.060026155
    -0.45242568    0.027553051    0.043515027
    -0.32513903    -0.23736844    0.010199647
   -0.017708569    -0.36942434   -0.028781569
     0.29670284    -0.24419920   -0.047377299
     0.43374226    0.021280523   -0.038241227
     0.39486720     0.27686507   -0.013777787
     0.23739950     0.44980302    0.014809578
    0.017698066     0.50752320    0.039689425
    -0.20848523     0.43366238    0.054410563
    -0.37310013     0.22583408    0.052535945
    -0.38301001   -0.079165861    0.028529551
    -0.16217802    -0.33797056   -0.012866803
     0.16660201    -0.36408860   -0.045148979
     0.40243637    -0.19766336   -0.053170348
     0.48794037    0.039797118   -0.041597255
     0.43444243     0.26490402   -0.018283625
     0.26991177     0.42231048   0.0096818896
    0.032119079     0.46681605    0.035140794
    -0.21841472     0.35730556    0.049181671
    -0.37082911    0.080074615    0.040515738
    -0.28459700    -0.25257966   0.0054302391
   -0.011160366    -0.41816669   -0.033173651
     0.26450451    -0.38213050   -0.055504737
     0.44809584    -0.21785225   -0.058910000
     0.50913143   0.0038991159   -0.046376885
     0.44074883     0.22348183   -0.022150032
     0.24962215     0.38039096   0.0082137225
   -0.031566736     0.40170119    0.035756935
    -0.29981831     0.21592010    0.045189325
    -0.36648105    -0.12143484    0.023743704
    -0.20350195    -0.38459428   -0.012702628
    0.047176105    -0.47924858   -0.043422594
     0.28105547    -0.42375162   -0.060330988
     0.44009876    -0.25903484   -0.061449313
     0.48660533   -0.030228119   -0.047007590
     0.39187900     0.20576676   -0.019023815
     0.14563404     0.36133203    0.016285106
    -0.18484013     0.31259804    0.042624034
    -0.38938818    0.040752187    0.039178909
    -0.36626558    -0.25840493    0.012618488
    -0.19657159    -0.45481553   -0.018989673
    0.030176883    -0.51723698   -0.044881346
     0.24792636    -0.44915773   -0.059282824
     0.40087421    -0.26741141   -0.058451284
     0.43112129  -0.0064670318   -0.039892814
     0.28045046     0.25488432  -0.0047064663
   -0.042615111     0.35886808    0.033432204
    -0.33917798     0.20791193    0.048305437
    -0.45332932   -0.059445774    0.036934211
    -0.39985871    -0.30668103    0.011832222
    -0.23427651    -0.46853645   -0.016575824
   -0.010799606    -0.51378996   -0.040765326
     0.21437199    -0.42549337   -0.054196287
     0.36914359    -0.20201487   -0.050122472
     0.35429892     0.11066922   -0.023200590
     0.10750118     0.34805777    0.018843720
    -0.21513848     0.34492746    0.048188684
    -0.43270151     0.16732373    0.053636978
    -0.50218829   -0.070034437    0.040619618
    -0.43619375    -0.28991088    0.016603831
    -0.26165817    -0.43846305   -0.011539121
   -0.016901087    -0.46923812   -0.036498131
     0.23246532    -0.33957939   -0.048768927
     0.36406492   -0.043322541   -0.036622864
     0.24548174     0.27850173  0.00056039578
   -0.033829680     0.41670949    0.037480562
    -0.29930151     0.36353808    0.057491107
    -0.46963978     0.19171192    0.059078642
    -0.51749291   -0.031963748    0.045193896
    -0.43573934    -0.24903972    0.019960304
    -0.23109130    -0.39703192   -0.010900055
    0.059009103    -0.39850300   -0.037624420
     0.31529822    -0.18522180   -0.043697390
     0.34896327     0.15368063   -0.019084363
     0.17061670     0.39646105    0.017119708
   -0.079410448     0.47280895    0.046297101
    -0.30623651     0.40473619    0.061543762
    -0.45529505     0.23158563    0.061069867
    -0.48881495  -0.0020996230    0.045051128
    -0.37704919    -0.23685909    0.015618362
    -0.11269466    -0.37750392   -0.020119128
     0.21734068    -0.29717420   -0.043822422
     0.39340118   -0.012300476   -0.036686713
     0.34967506     0.27627363  -0.0090891472
     0.17224100     0.45765821    0.022012533
   -0.055079444     0.50632813    0.046843922
