    N   =   10000
      x:            y:             z:          PE:            KE:
      5.1261300     -8.5751100   -0.054976000
      5.1750752     -8.5437689   -0.057471038
      5.2238391     -8.5121287   -0.059964062
      5.2724200     -8.4801902   -0.062454985
      5.3208159     -8.4479544   -0.064943719
      5.3690251     -8.4154224   -0.067430175
      5.4170460     -8.3825951   -0.069914265
      5.4648766     -8.3494734   -0.072395901
      5.5125153     -8.3160585   -0.074874995
      5.5599602     -8.2823514   -0.077351458
      5.6072097     -8.2483530   -0.079825202
      5.6542620     -8.2140645   -0.082296139
      5.7011153     -8.1794868   -0.084764180
      5.7477680     -8.1446211   -0.087229238
      5.7942182     -8.1094685   -0.089691224
      5.8404642     -8.0740299   -0.092150050
      5.8865044     -8.0383066   -0.094605628
      5.9323369     -8.0022996   -0.097057869
      5.9779602     -7.9660100   -0.099506686
      6.0233724     -7.9294391    -0.10195199
      6.0685719     -7.8925879    -0.10439369
      6.1135569     -7.8554575    -0.10683171
      6.1583258     -7.8180492    -0.10926594
      6.2028770     -7.7803642    -0.11169632
      6.2472086     -7.7424035    -0.11412274
      6.2913190     -7.7041685    -0.11654511
      6.3352066     -7.6656603    -0.11896336
      6.3788697     -7.6268801    -0.12137740
      6.4223066     -7.5878292    -0.12378712
      6.4655156     -7.5485088    -0.12619246
      6.5084952     -7.5089201    -0.12859332
      6.5512436     -7.4690645    -0.13098960
      6.5937593     -7.4289431    -0.13338124
      6.6360405     -7.3885573    -0.13576813
      6.6780857     -7.3479084    -0.13815018
      6.7198932     -7.3069977    -0.14052733
      6.7614614     -7.2658264    -0.14289946
      6.8027887     -7.2243959    -0.14526650
      6.8438735     -7.1827075    -0.14762837
      6.8847141     -7.1407627    -0.14998496
      6.9253091     -7.0985626    -0.15233621
      6.9656568     -7.0561087    -0.15468201
      7.0057556     -7.0134024    -0.15702228
      7.0456039     -6.9704451    -0.15935694
      7.0852002     -6.9272381    -0.16168589
      7.1245429     -6.8837828    -0.16400906
      7.1636304     -6.8400807    -0.16632635
      7.2024613     -6.7961332    -0.16863768
      7.2410339     -6.7519417    -0.17094296
      7.2793467     -6.7075076    -0.17324211
      7.3173982     -6.6628325    -0.17553503
      7.3551868     -6.6179177    -0.17782165
      7.3927111     -6.5727648    -0.18010188
      7.4299695     -6.5273752    -0.18237563
      7.4669605     -6.4817505    -0.18464281
      7.5036826     -6.4358920    -0.18690334
      7.5401344     -6.3898015    -0.18915714
      7.5763143     -6.3434803    -0.19140411
      7.6122209     -6.2969299    -0.19364418
      7.6478527     -6.2501521    -0.19587726
      7.6832083     -6.2031482    -0.19810326
      7.7182861     -6.1559198    -0.20032210
      7.7530848     -6.1084686    -0.20253369
      7.7876028     -6.0607961    -0.20473795
      7.8218388     -6.0129038    -0.20693480
      7.8557914     -5.9647935    -0.20912414
      7.8894591     -5.9164666    -0.21130590
      7.9228406     -5.8679249    -0.21347999
      7.9559343     -5.8191699    -0.21564633
      7.9887390     -5.7702033    -0.21780483
      8.0212532     -5.7210267    -0.21995541
      8.0534756     -5.6716418    -0.22209799
      8.0854048     -5.6220503    -0.22423248
      8.1170394     -5.5722537    -0.22635881
      8.1483781     -5.5222539    -0.22847688
      8.1794196     -5.4720525    -0.23058661
      8.2101625     -5.4216512    -0.23268793
      8.2406055     -5.3710516    -0.23478074
      8.2707472     -5.3202556    -0.23686497
      8.3005864     -5.2692649    -0.23894054
      8.3301217     -5.2180812    -0.24100736
      8.3593520     -5.1667062    -0.24306535
      8.3882758     -5.1151418    -0.24511444
      8.4168919     -5.0633895    -0.24715453
      8.4451991     -5.0114514    -0.24918555
      8.4731961     -4.9593291    -0.25120741
      8.5008817     -4.9070244    -0.25322004
      8.5282545     -4.8545391    -0.25522336
      8.5553135     -4.8018750    -0.25721728
      8.5820573     -4.7490340    -0.25920173
      8.6084848     -4.6960179    -0.26117663
      8.6345948     -4.6428285    -0.26314189
      8.6603860     -4.5894677    -0.26509744
      8.6858574     -4.5359373    -0.26704319
      8.7110077     -4.4822392    -0.26897908
      8.7358357     -4.4283752    -0.27090501
      8.7603404     -4.3743472    -0.27282092
      8.7845206     -4.3201572    -0.27472672
      8.8083751     -4.2658070    -0.27662234
      8.8319029     -4.2112985    -0.27850770
      8.8551028     -4.1566337    -0.28038272
      8.8779738     -4.1018144    -0.28224732
      8.9005146     -4.0468426    -0.28410143
      8.9227244     -3.9917202    -0.28594497
      8.9446019     -3.9364492    -0.28777786
      8.9661462     -3.8810316    -0.28960004
      8.9873562     -3.8254692    -0.29141141
      9.0082309     -3.7697641    -0.29321192
      9.0287692     -3.7139182    -0.29500147
      9.0489701     -3.6579336    -0.29678001
      9.0688327     -3.6018122    -0.29854745
      9.0883559     -3.5455560    -0.30030371
      9.1075387     -3.4891671    -0.30204873
      9.1263803     -3.4326474    -0.30378243
      9.1448795     -3.3759990    -0.30550474
      9.1630356     -3.3192240    -0.30721559
      9.1808475     -3.2623243    -0.30891490
      9.1983143     -3.2053020    -0.31060259
      9.2154351     -3.1481592    -0.31227861
      9.2322090     -3.0908979    -0.31394287
      9.2486352     -3.0335202    -0.31559530
      9.2647127     -2.9760283    -0.31723584
      9.2804407     -2.9184240    -0.31886441
      9.2958183     -2.8607097    -0.32048095
      9.3108447     -2.8028873    -0.32208538
      9.3255190     -2.7449590    -0.32367763
      9.3398405     -2.6869269    -0.32525763
      9.3538083     -2.6287931    -0.32682532
      9.3674217     -2.5705597    -0.32838062
      9.3806798     -2.5122290    -0.32992347
      9.3935819     -2.4538029    -0.33145381
      9.4061272     -2.3952837    -0.33297155
      9.4183151     -2.3366736    -0.33447664
      9.4301447     -2.2779746    -0.33596901
      9.4416153     -2.2191890    -0.33744859
      9.4527263     -2.1603190    -0.33891532
      9.4634769     -2.1013666    -0.34036913
      9.4738664     -2.0423342    -0.34180995
      9.4838943     -1.9832239    -0.34323773
      9.4935598     -1.9240378    -0.34465239
      9.5028623     -1.8647783    -0.34605387
      9.5118012     -1.8054476    -0.34744212
      9.5203758     -1.7460477    -0.34881706
      9.5285856     -1.6865811    -0.35017863
      9.5364299     -1.6270499    -0.35152678
      9.5439082     -1.5674563    -0.35286143
      9.5510200     -1.5078026    -0.35418253
      9.5577646     -1.4480910    -0.35549002
      9.5641416     -1.3883238    -0.35678384
      9.5701504     -1.3285033    -0.35806392
      9.5757905     -1.2686317    -0.35933021
      9.5810614     -1.2087113    -0.36058264
      9.5859627     -1.1487444    -0.36182117
      9.5904938     -1.0887332    -0.36304572
      9.5946544     -1.0286800    -0.36425625
      9.5984439    -0.96858717    -0.36545269
      9.6018620    -0.90845697    -0.36663499
      9.6049082    -0.84829168    -0.36780310
      9.6075822    -0.78809363    -0.36895695
      9.6098835    -0.72786512    -0.37009649
      9.6118118    -0.66760847    -0.37122166
      9.6133668    -0.60732600    -0.37233242
      9.6145481    -0.54702004    -0.37342870
      9.6153553    -0.48669291    -0.37451046
      9.6157883    -0.42634694    -0.37557764
      9.6158465    -0.36598448    -0.37663019
      9.6155299    -0.30560786    -0.37766805
      9.6148381    -0.24521944    -0.37869118
      9.6137709    -0.18482156    -0.37969952
      9.6123280    -0.12441658    -0.38069302
      9.6105092   -0.064006852    -0.38167164
      9.6083143  -0.0035947385    -0.38263533
      9.6057431    0.056817396    -0.38358402
      9.6027955     0.11722718    -0.38451769
      9.5994712     0.17763225    -0.38543627
      9.5957702     0.23803022    -0.38633973
      9.5916922     0.29841872    -0.38722801
      9.5872372     0.35879536    -0.38810107
      9.5824051     0.41915777    -0.38895887
      9.5771957     0.47950355    -0.38980135
      9.5716090     0.53983032    -0.39062848
      9.5656450     0.60013568    -0.39144021
      9.5593037     0.66041723    -0.39223649
      9.5525848     0.72067259    -0.39301729
      9.5454886     0.78089934    -0.39378256
      9.5380149     0.84109509    -0.39453226
      9.5301639     0.90125743    -0.39526635
      9.5219355     0.96138396    -0.39598479
      9.5133297      1.0214723    -0.39668754
      9.5043467      1.0815199    -0.39737455
      9.4949866      1.1415246    -0.39804580
      9.4852494      1.2014837    -0.39870124
      9.4751352      1.2613950    -0.39934084
      9.4646443      1.3212560    -0.39996455
      9.4537766      1.3810643    -0.40057235
      9.4425325      1.4408174    -0.40116419
      9.4309120      1.5005130    -0.40174005
      9.4189154      1.5601486    -0.40229988
      9.4065429      1.6197218    -0.40284365
      9.3937946      1.6792302    -0.40337134
      9.3806710      1.7386714    -0.40388290
      9.3671721      1.7980429    -0.40437831
      9.3532983      1.8573422    -0.40485753
      9.3390499      1.9165671    -0.40532054
      9.3244271      1.9757150    -0.40576730
      9.3094304      2.0347836    -0.40619778
      9.2940600      2.0937703    -0.40661196
      9.2783163      2.1526728    -0.40700981
      9.2621997      2.2114887    -0.40739129
      9.2457106      2.2702154    -0.40775640
      9.2288493      2.3288507    -0.40810508
      9.2116163      2.3873921    -0.40843733
      9.1940121      2.4458370    -0.40875312
      9.1760370      2.5041833    -0.40905242
      9.1576916      2.5624283    -0.40933521
      9.1389764      2.6205697    -0.40960147
      9.1198917      2.6786050    -0.40985117
      9.1004383      2.7365319    -0.41008430
      9.0806166      2.7943480    -0.41030083
      9.0604271      2.8520507    -0.41050074
      9.0398705      2.9096377    -0.41068402
      9.0189473      2.9671066    -0.41085064
      8.9976581      3.0244550    -0.41100058
      8.9760036      3.0816805    -0.41113384
      8.9539843      3.1387806    -0.41125039
      8.9316010      3.1957529    -0.41135022
      8.9088543      3.2525951    -0.41143331
      8.8857449      3.3093048    -0.41149965
      8.8622735      3.3658795    -0.41154922
      8.8384409      3.4223168    -0.41158202
      8.8142477      3.4786145    -0.41159802
      8.7896947      3.5347700    -0.41159722
      8.7647826      3.5907810    -0.41157961
      8.7395124      3.6466452    -0.41154517
      8.7138847      3.7023600    -0.41149390
      8.6879005      3.7579233    -0.41142579
      8.6615604      3.8133325    -0.41134083
      8.6348655      3.8685854    -0.41123901
      8.6078165      3.9236795    -0.41112033
      8.5804144      3.9786125    -0.41098478
      8.5526600      4.0333821    -0.41083236
      8.5245543      4.0879859    -0.41066306
      8.4960983      4.1424215    -0.41047687
      8.4672927      4.1966866    -0.41027381
      8.4381388      4.2507789    -0.41005385
      8.4086373      4.3046961    -0.40981701
      8.3787894      4.3584357    -0.40956328
      8.3485961      4.4119956    -0.40929267
      8.3180583      4.4653733    -0.40900516
      8.2871772      4.5185666    -0.40870077
      8.2559539      4.5715732    -0.40837950
      8.2243893      4.6243907    -0.40804135
      8.1924846      4.6770168    -0.40768632
      8.1602410      4.7294494    -0.40731443
      8.1276595      4.7816860    -0.40692566
      8.0947414      4.8337245    -0.40652004
      8.0614877      4.8855624    -0.40609757
      8.0278997      4.9371977    -0.40565825
      7.9939787      4.9886280    -0.40520210
      7.9597257      5.0398511    -0.40472912
      7.9251420      5.0908647    -0.40423933
      7.8902290      5.1416666    -0.40373273
      7.8549878      5.1922545    -0.40320934
      7.8194197      5.2426263    -0.40266917
      7.7835261      5.2927797    -0.40211223
      7.7473083      5.3427125    -0.40153853
      7.7107675      5.3924226    -0.40094810
      7.6739052      5.4419077    -0.40034094
      7.6367227      5.4911656    -0.39971708
      7.5992214      5.5401941    -0.39907653
      7.5614027      5.5889912    -0.39841931
      7.5232679      5.6375546    -0.39774543
      7.4848186      5.6858822    -0.39705492
      7.4460562      5.7339718    -0.39634779
      7.4069821      5.7818213    -0.39562408
      7.3675979      5.8294286    -0.39488379
      7.3279049      5.8767916    -0.39412695
      7.2879048      5.9239081    -0.39335359
      7.2475989      5.9707761    -0.39256373
      7.2069890      6.0173934    -0.39175740
      7.1660765      6.0637581    -0.39093461
      7.1248630      6.1098679    -0.39009540
      7.0833501      6.1557209    -0.38923980
      7.0415394      6.2013151    -0.38836782
      6.9994324      6.2466483    -0.38747951
      6.9570309      6.2917185    -0.38657489
      6.9143365      6.3365237    -0.38565399
      6.8713509      6.3810620    -0.38471684
      6.8280756      6.4253312    -0.38376347
      6.7845125      6.4693295    -0.38279392
      6.7406631      6.5130548    -0.38180822
      6.6965294      6.5565052    -0.38080641
      6.6521129      6.5996787    -0.37978851
      6.6074154      6.6425734    -0.37875457
      6.5624387      6.6851873    -0.37770463
      6.5171846      6.7275186    -0.37663871
      6.4716548      6.7695652    -0.37555686
      6.4258512      6.8113253    -0.37445911
      6.3797756      6.8527971    -0.37334552
      6.3334299      6.8939786    -0.37221611
      6.2868158      6.9348680    -0.37107093
      6.2399352      6.9754635    -0.36991002
      6.1927901      7.0157631    -0.36873342
      6.1453824      7.0557651    -0.36754118
      6.0977138      7.0954676    -0.36633334
      6.0497864      7.1348689    -0.36510994
      6.0016021      7.1739672    -0.36387104
      5.9531628      7.2127606    -0.36261668
      5.9044705      7.2512475    -0.36134690
      5.8555272      7.2894260    -0.36006176
      5.8063348      7.3272945    -0.35876130
      5.7568954      7.3648511    -0.35744558
      5.7072109      7.4020943    -0.35611464
      5.6572835      7.4390223    -0.35476853
      5.6071151      7.4756334    -0.35340731
      5.5567078      7.5119260    -0.35203103
      5.5060636      7.5478984    -0.35063975
      5.4551847      7.5835489    -0.34923351
      5.4040730      7.6188760    -0.34781237
      5.3527309      7.6538780    -0.34637640
      5.3011602      7.6885533    -0.34492563
      5.2493633      7.7229004    -0.34346014
      5.1973421      7.7569176    -0.34197998
      5.1450989      7.7906034    -0.34048521
      5.0926359      7.8239563    -0.33897588
      5.0399551      7.8569748    -0.33745206
      4.9870588      7.8896573    -0.33591381
      4.9339492      7.9220024    -0.33436119
      4.8806285      7.9540085    -0.33279426
      4.8270990      7.9856742    -0.33121309
      4.7733627      8.0169981    -0.32961774
      4.7194221      8.0479787    -0.32800827
      4.6652793      8.0786146    -0.32638475
      4.6109366      8.1089044    -0.32474725
      4.5563964      8.1388467    -0.32309582
      4.5016607      8.1684402    -0.32143055
      4.4467321      8.1976834    -0.31975149
      4.3916127      8.2265751    -0.31805871
      4.3363049      8.2551139    -0.31635229
      4.2808111      8.2832986    -0.31463230
      4.2251335      8.3111278    -0.31289879
      4.1692745      8.3386002    -0.31115186
      4.1132365      8.3657146    -0.30939156
      4.0570218      8.3924698    -0.30761798
      4.0006328      8.4188646    -0.30583117
      3.9440719      8.4448976    -0.30403123
      3.8873415      8.4705678    -0.30221822
      3.8304440      8.4958740    -0.30039222
      3.7733817      8.5208150    -0.29855330
      3.7161572      8.5453896    -0.29670155
      3.6587729      8.5695968    -0.29483703
      3.6012311      8.5934355    -0.29295983
      3.5435344      8.6169045    -0.29107002
      3.4856852      8.6400028    -0.28916769
      3.4276860      8.6627293    -0.28725291
      3.3695391      8.6850831    -0.28532577
      3.3112472      8.7070630    -0.28338634
      3.2528127      8.7286681    -0.28143471
      3.1942380      8.7498974    -0.27947095
      3.1355258      8.7707500    -0.27749517
      3.0766784      8.7912248    -0.27550742
      3.0176985      8.8113211    -0.27350781
      2.9585885      8.8310377    -0.27149641
      2.8993510      8.8503740    -0.26947331
      2.8399885      8.8693289    -0.26743860
      2.7805035      8.8879016    -0.26539236
      2.7208987      8.9060914    -0.26333468
      2.6611765      8.9238973    -0.26126564
      2.6013395      8.9413186    -0.25918535
      2.5413903      8.9583545    -0.25709387
      2.4813314      8.9750042    -0.25499131
      2.4211655      8.9912670    -0.25287775
      2.3608951      9.0071421    -0.25075329
      2.3005229      9.0226289    -0.24861800
      2.2400513      9.0377267    -0.24647200
      2.1794831      9.0524347    -0.24431536
      2.1188208      9.0667524    -0.24214818
      2.0580670      9.0806791    -0.23997056
      1.9972243      9.0942142    -0.23778258
      1.9362954      9.1073570    -0.23558434
      1.8752829      9.1201071    -0.23337594
      1.8141894      9.1324638    -0.23115747
      1.7530176      9.1444266    -0.22892902
      1.6917700      9.1559951    -0.22669070
      1.6304494      9.1671686    -0.22444259
      1.5690583      9.1779467    -0.22218480
      1.5075995      9.1883290    -0.21991742
      1.4460755      9.1983150    -0.21764055
      1.3844890      9.2079043    -0.21535429
      1.3228427      9.2170964    -0.21305874
      1.2611392      9.2258911    -0.21075399
      1.1993813      9.2342878    -0.20844015
      1.1375714      9.2422864    -0.20611732
      1.0757124      9.2498864    -0.20378559
      1.0138069      9.2570875    -0.20144508
     0.95185755      9.2638894    -0.19909587
     0.88986702      9.2702920    -0.19673807
     0.82783800      9.2762948    -0.19437179
     0.76577316      9.2818978    -0.19199712
     0.70367518      9.2871006    -0.18961417
     0.64154673      9.2919032    -0.18722304
     0.57939049      9.2963052    -0.18482384
     0.51720915      9.3003066    -0.18241667
     0.45500539      9.3039072    -0.18000163
     0.39278187      9.3071069    -0.17757883
     0.33054130      9.3099056    -0.17514838
     0.26828634      9.3123033    -0.17271038
     0.20601968      9.3142998    -0.17026493
     0.14374401      9.3158952    -0.16781214
    0.081461992      9.3170893    -0.16535213
    0.019176322      9.3178823    -0.16288498
   -0.043110322      9.3182742    -0.16041082
    -0.10539526      9.3182648    -0.15792976
    -0.16767582      9.3178545    -0.15544188
    -0.22994931      9.3170431    -0.15294732
    -0.29221306      9.3158308    -0.15044617
    -0.35446440      9.3142178    -0.14793854
    -0.41670065      9.3122041    -0.14542454
    -0.47891914      9.3097899    -0.14290428
    -0.54111719      9.3069754    -0.14037788
    -0.60329214      9.3037608    -0.13784543
    -0.66544133      9.3001462    -0.13530706
    -0.72756207      9.2961320    -0.13276286
    -0.78965173      9.2917183    -0.13021296
    -0.85170762      9.2869055    -0.12765745
    -0.91372710      9.2816938    -0.12509646
    -0.97570752      9.2760835    -0.12253009
     -1.0376462      9.2700750    -0.11995846
     -1.0995405      9.2636685    -0.11738167
     -1.1613879      9.2568646    -0.11479985
     -1.2231855      9.2496635    -0.11221309
     -1.2849309      9.2420656    -0.10962151
     -1.3466213      9.2340714    -0.10702523
     -1.4082542      9.2256813    -0.10442435
     -1.4698269      9.2168958    -0.10181899
     -1.5313368      9.2077153   -0.099209270
     -1.5927813      9.1981403   -0.096595290
     -1.6541577      9.1881714   -0.093977168
     -1.7154635      9.1778091   -0.091355018
     -1.7766961      9.1670539   -0.088728952
     -1.8378528      9.1559064   -0.086099084
     -1.8989310      9.1443672   -0.083465528
     -1.9599283      9.1324369   -0.080828398
     -2.0208419      9.1201161   -0.078187806
     -2.0816693      9.1074055   -0.075543867
     -2.1424080      9.0943057   -0.072896696
     -2.2030553      9.0808174   -0.070246405
     -2.2636087      9.0669412   -0.067593109
     -2.3240657      9.0526780   -0.064936923
     -2.3844237      9.0380285   -0.062277961
     -2.4446802      9.0229933   -0.059616337
     -2.5048325      9.0075733   -0.056952165
     -2.5648783      8.9917692   -0.054285560
     -2.6248150      8.9755819   -0.051616636
     -2.6846400      8.9590121   -0.048945508
     -2.7443509      8.9420608   -0.046272290
     -2.8039451      8.9247287   -0.043597097
     -2.8634202      8.9070167   -0.040920044
     -2.9227737      8.8889258   -0.038241244
     -2.9820030      8.8704568   -0.035560813
     -3.0411058      8.8516107   -0.032878866
     -3.1000795      8.8323884   -0.030195516
     -3.1589217      8.8127908   -0.027510878
     -3.2176300      8.7928190   -0.024825067
     -3.2762019      8.7724739   -0.022138197
     -3.3346350      8.7517566   -0.019450382
     -3.3929268      8.7306680   -0.016761737
     -3.4510750      8.7092093   -0.014072377
     -3.5090771      8.6873814   -0.011382415
     -3.5669307      8.6651854  -0.0086919662
     -3.6246336      8.6426225  -0.0060011439
     -3.6821831      8.6196937  -0.0033100624
     -3.7395771      8.5964002 -0.00061883587
     -3.7968132      8.5727431   0.0020724220
     -3.8538889      8.5487236   0.0047635974
     -3.9108020      8.5243428   0.0074545766
     -3.9675501      8.4996020    0.010145246
     -4.0241309      8.4745023    0.012835492
     -4.0805420      8.4490449    0.015525202
     -4.1367813      8.4232311    0.018214262
     -4.1928463      8.3970622    0.020902559
     -4.2487349      8.3705394    0.023589981
     -4.3044447      8.3436639    0.026276414
     -4.3599735      8.3164372    0.028961746
     -4.4153189      8.2888604    0.031645864
     -4.4704789      8.2609349    0.034328657
     -4.5254511      8.2326622    0.037010011
     -4.5802334      8.2040434    0.039689815
     -4.6348235      8.1750800    0.042367957
     -4.6892192      8.1457734    0.045044326
     -4.7434183      8.1161250    0.047718810
     -4.7974187      8.0861362    0.050391298
     -4.8512182      8.0558084    0.053061679
     -4.9048147      8.0251430    0.055729842
     -4.9582059      7.9941416    0.058395676
     -5.0113899      7.9628056    0.061059072
     -5.0643644      7.9311364    0.063719918
     -5.1171273      7.8991356    0.066378106
     -5.1696767      7.8668047    0.069033525
     -5.2220103      7.8341452    0.071686066
     -5.2741261      7.8011586    0.074335619
     -5.3260220      7.7678466    0.076982077
     -5.3776961      7.7342106    0.079625330
     -5.4291463      7.7002522    0.082265269
     -5.4803705      7.6659731    0.084901788
     -5.5313667      7.6313748    0.087534776
     -5.5821330      7.5964590    0.090164129
     -5.6326673      7.5612272    0.092789736
     -5.6829678      7.5256812    0.095411493
     -5.7330323      7.4898226    0.098029292
     -5.7828591      7.4536530     0.10064303
     -5.8324461      7.4171741     0.10325259
     -5.8817915      7.3803876     0.10585788
     -5.9308933      7.3432953     0.10845878
     -5.9797496      7.3058988     0.11105520
     -6.0283586      7.2681999     0.11364703
     -6.0767184      7.2302002     0.11623416
     -6.1248271      7.1919016     0.11881649
     -6.1726829      7.1533058     0.12139392
     -6.2202840      7.1144146     0.12396634
     -6.2676286      7.0752297     0.12653364
     -6.3147148      7.0357530     0.12909574
     -6.3615409      6.9959862     0.13165251
     -6.4081051      6.9559313     0.13420387
     -6.4544056      6.9155899     0.13674971
     -6.5004408      6.8749639     0.13928993
     -6.5462088      6.8340553     0.14182442
     -6.5917080      6.7928658     0.14435309
     -6.6369366      6.7513973     0.14687584
     -6.6818930      6.7096516     0.14939256
     -6.7265755      6.6676308     0.15190317
     -6.7709824      6.6253366     0.15440755
     -6.8151121      6.5827710     0.15690561
     -6.8589629      6.5399359     0.15939725
     -6.9025333      6.4968332     0.16188237
     -6.9458216      6.4534649     0.16436088
     -6.9888263      6.4098329     0.16683268
     -7.0315457      6.3659391     0.16929767
     -7.0739784      6.3217856     0.17175576
     -7.1161227      6.2773742     0.17420685
     -7.1579771      6.2327070     0.17665084
     -7.1995402      6.1877859     0.17908765
     -7.2408104      6.1426130     0.18151717
     -7.2817862      6.0971903     0.18393931
     -7.3224662      6.0515198     0.18635398
     -7.3628489      6.0056034     0.18876108
     -7.4029329      5.9594432     0.19116053
     -7.4427167      5.9130414     0.19355222
     -7.4821989      5.8663998     0.19593608
     -7.5213781      5.8195206     0.19831200
     -7.5602530      5.7724058     0.20067990
     -7.5988221      5.7250575     0.20303968
     -7.6370842      5.6774777     0.20539126
     -7.6750378      5.6296686     0.20773455
     -7.7126818      5.5816323     0.21006945
     -7.7500146      5.5333707     0.21239588
     -7.7870352      5.4848861     0.21471375
     -7.8237421      5.4361806     0.21702298
     -7.8601341      5.3872562     0.21932347
     -7.8962100      5.3381151     0.22161514
     -7.9319686      5.2887594     0.22389791
     -7.9674085      5.2391912     0.22617168
     -8.0025287      5.1894128     0.22843638
     -8.0373280      5.1394261     0.23069191
     -8.0718051      5.0892335     0.23293820
     -8.1059589      5.0388370     0.23517516
     -8.1397882      4.9882388     0.23740271
     -8.1732921      4.9374411     0.23962077
     -8.2064692      4.8864461     0.24182924
     -8.2393186      4.8352559     0.24402806
     -8.2718391      4.7838727     0.24621714
     -8.3040297      4.7322987     0.24839640
     -8.3358894      4.6805362     0.25056576
     -8.3674171      4.6285872     0.25272514
     -8.3986118      4.5764541     0.25487446
     -8.4294724      4.5241390     0.25701365
     -8.4599981      4.4716441     0.25914262
     -8.4901877      4.4189717     0.26126130
     -8.5200405      4.3661239     0.26336962
     -8.5495553      4.3131031     0.26546748
     -8.5787314      4.2599114     0.26755483
     -8.6075677      4.2065510     0.26963158
     -8.6360635      4.1530243     0.27169766
     -8.6642177      4.0993334     0.27375300
     -8.6920296      4.0454807     0.27579752
     -8.7194982      3.9914682     0.27783115
     -8.7466229      3.9372984     0.27985382
     -8.7734026      3.8829734     0.28186545
     -8.7998367      3.8284955     0.28386597
     -8.8259243      3.7738670     0.28585532
     -8.8516647      3.7190901     0.28783342
     -8.8770571      3.6641671     0.28980020
     -8.9021008      3.6091003     0.29175560
     -8.9267950      3.5538919     0.29369954
     -8.9511390      3.4985443     0.29563196
     -8.9751321      3.4430596     0.29755279
     -8.9987737      3.3874402     0.29946196
     -9.0220630      3.3316884     0.30135941
     -9.0449995      3.2758064     0.30324506
     -9.0675824      3.2197965     0.30511887
     -9.0898112      3.1636611     0.30698075
     -9.1116852      3.1074023     0.30883065
     -9.1332039      3.0510225     0.31066850
     -9.1543667      2.9945240     0.31249425
     -9.1751729      2.9379091     0.31430782
     -9.1956222      2.8811800     0.31610915
     -9.2157138      2.8243391     0.31789819
     -9.2354474      2.7673886     0.31967488
     -9.2548224      2.7103309     0.32143915
     -9.2738383      2.6531683     0.32319094
     -9.2924946      2.5959030     0.32493020
     -9.3107909      2.5385374     0.32665686
     -9.3287268      2.4810737     0.32837088
     -9.3463018      2.4235142     0.33007218
     -9.3635155      2.3658613     0.33176072
     -9.3803674      2.3081173     0.33343644
     -9.3968573      2.2502844     0.33509928
     -9.4129848      2.1923650     0.33674919
     -9.4287494      2.1343614     0.33838611
     -9.4441508      2.0762758     0.34001000
     -9.4591888      2.0181105     0.34162078
     -9.4738630      1.9598680     0.34321843
     -9.4881731      1.9015504     0.34480287
     -9.5021188      1.8431600     0.34637407
     -9.5156998      1.7846992     0.34793196
     -9.5289159      1.7261703     0.34947650
     -9.5417669      1.6675756     0.35100765
     -9.5542526      1.6089173     0.35252534
     -9.5663726      1.5501977     0.35402953
     -9.5781268      1.4914192     0.35552017
     -9.5895151      1.4325840     0.35699722
     -9.6005373      1.3736945     0.35846063
     -9.6111931      1.3147529     0.35991035
     -9.6214825      1.2557615     0.36134634
     -9.6314054      1.1967226     0.36276854
     -9.6409616      1.1376385     0.36417692
     -9.6501510      1.0785115     0.36557144
     -9.6589735      1.0193438     0.36695204
     -9.6674291     0.96013776     0.36831869
     -9.6755177     0.90089564     0.36967134
     -9.6832392     0.84161971     0.37100995
     -9.6905937     0.78231226     0.37233448
     -9.6975811     0.72297554     0.37364489
     -9.7042014     0.66361184     0.37494113
     -9.7104547     0.60422342     0.37622318
     -9.7163408     0.54481255     0.37749099
     -9.7218600     0.48538149     0.37874452
     -9.7270121     0.42593249     0.37998373
     -9.7317974     0.36646783     0.38120859
     -9.7362158     0.30698974     0.38241906
     -9.7402675     0.24750049     0.38361510
     -9.7439526     0.18800233     0.38479668
     -9.7472711     0.12849749     0.38596377
     -9.7502233    0.068988220     0.38711632
     -9.7528092   0.0094767619     0.38825431
     -9.7550290   -0.050034650     0.38937770
     -9.7568829    -0.10954378     0.39048645
     -9.7583710    -0.16904841     0.39158055
     -9.7594936    -0.22854630     0.39265995
     -9.7602509    -0.28803524     0.39372462
     -9.7606431    -0.34751300     0.39477453
     -9.7606704    -0.40697738     0.39580966
     -9.7603330    -0.46642617     0.39682998
     -9.7596313    -0.52585715     0.39783545
     -9.7585655    -0.58526812     0.39882604
     -9.7571359    -0.64465689     0.39980174
     -9.7553427    -0.70402127     0.40076251
