    N   =   10000
      x:            y:             z:          PE:            KE:
      29.410000     -5.4774900    -0.56490000
      29.416041     -5.4434874    -0.56573663
      29.422043     -5.4094778    -0.56657253
      29.428008     -5.3754611    -0.56740769
      29.433934     -5.3414374    -0.56824211
      29.439821     -5.3074068    -0.56907579
      29.445671     -5.2733693    -0.56990873
      29.451482     -5.2393249    -0.57074093
      29.457255     -5.2052736    -0.57157239
      29.462989     -5.1712156    -0.57240310
      29.468685     -5.1371509    -0.57323307
      29.474343     -5.1030795    -0.57406229
      29.479962     -5.0690015    -0.57489076
      29.485543     -5.0349168    -0.57571849
      29.491086     -5.0008256    -0.57654547
      29.496590     -4.9667279    -0.57737169
      29.502056     -4.9326237    -0.57819717
      29.507483     -4.8985131    -0.57902189
      29.512872     -4.8643962    -0.57984586
      29.518223     -4.8302729    -0.58066907
      29.523535     -4.7961433    -0.58149153
      29.528809     -4.7620075    -0.58231323
      29.534044     -4.7278654    -0.58313418
      29.539241     -4.6937172    -0.58395436
      29.544400     -4.6595629    -0.58477378
      29.549520     -4.6254026    -0.58559244
      29.554601     -4.5912362    -0.58641034
      29.559644     -4.5570638    -0.58722748
      29.564648     -4.5228855    -0.58804385
      29.569614     -4.4887013    -0.58885946
      29.574542     -4.4545113    -0.58967430
      29.579431     -4.4203155    -0.59048837
      29.584281     -4.3861139    -0.59130167
      29.589093     -4.3519066    -0.59211420
      29.593867     -4.3176936    -0.59292596
      29.598602     -4.2834750    -0.59373695
      29.603298     -4.2492509    -0.59454717
      29.607956     -4.2150212    -0.59535661
      29.612575     -4.1807860    -0.59616528
      29.617156     -4.1465453    -0.59697317
      29.621698     -4.1122993    -0.59778028
      29.626201     -4.0780479    -0.59858661
      29.630666     -4.0437912    -0.59939217
      29.635092     -4.0095292    -0.60019694
      29.639480     -3.9752620    -0.60100093
      29.643829     -3.9409897    -0.60180414
      29.648140     -3.9067121    -0.60260657
      29.652412     -3.8724295    -0.60340821
      29.656645     -3.8381419    -0.60420906
      29.660839     -3.8038493    -0.60500913
      29.664995     -3.7695517    -0.60580841
      29.669113     -3.7352492    -0.60660690
      29.673191     -3.7009418    -0.60740460
      29.677232     -3.6666296    -0.60820150
      29.681233     -3.6323126    -0.60899762
      29.685196     -3.5979909    -0.60979294
      29.689120     -3.5636645    -0.61058747
      29.693005     -3.5293334    -0.61138120
      29.696852     -3.4949978    -0.61217414
      29.700660     -3.4606576    -0.61296628
      29.704429     -3.4263129    -0.61375762
      29.708159     -3.3919637    -0.61454816
      29.711851     -3.3576101    -0.61533789
      29.715504     -3.3232521    -0.61612683
      29.719119     -3.2888898    -0.61691497
      29.722694     -3.2545232    -0.61770230
      29.726231     -3.2201524    -0.61848882
      29.729730     -3.1857774    -0.61927454
      29.733189     -3.1513982    -0.62005945
      29.736610     -3.1170149    -0.62084356
      29.739992     -3.0826275    -0.62162685
      29.743335     -3.0482362    -0.62240934
      29.746640     -3.0138408    -0.62319101
      29.749905     -2.9794415    -0.62397188
      29.753132     -2.9450384    -0.62475192
      29.756320     -2.9106314    -0.62553116
      29.759470     -2.8762206    -0.62630958
      29.762580     -2.8418060    -0.62708718
      29.765652     -2.8073877    -0.62786397
      29.768685     -2.7729658    -0.62863994
      29.771679     -2.7385403    -0.62941508
      29.774635     -2.7041112    -0.63018941
      29.777551     -2.6696785    -0.63096292
      29.780429     -2.6352424    -0.63173560
      29.783268     -2.6008029    -0.63250746
      29.786068     -2.5663599    -0.63327850
      29.788829     -2.5319136    -0.63404871
      29.791552     -2.4974640    -0.63481809
      29.794236     -2.4630112    -0.63558665
      29.796880     -2.4285551    -0.63635438
      29.799486     -2.3940959    -0.63712127
      29.802053     -2.3596335    -0.63788734
      29.804582     -2.3251681    -0.63865258
      29.807071     -2.2906996    -0.63941698
      29.809522     -2.2562281    -0.64018055
      29.811933     -2.2217537    -0.64094329
      29.814306     -2.1872764    -0.64170519
      29.816640     -2.1527963    -0.64246625
      29.818935     -2.1183133    -0.64322648
      29.821192     -2.0838276    -0.64398586
      29.823409     -2.0493391    -0.64474441
      29.825587     -2.0148480    -0.64550212
      29.827727     -1.9803542    -0.64625898
      29.829828     -1.9458579    -0.64701500
      29.831889     -1.9113590    -0.64777018
      29.833912     -1.8768577    -0.64852452
      29.835896     -1.8423538    -0.64927801
      29.837841     -1.8078476    -0.65003065
      29.839748     -1.7733390    -0.65078244
      29.841615     -1.7388281    -0.65153339
      29.843443     -1.7043150    -0.65228349
      29.845233     -1.6697996    -0.65303273
      29.846983     -1.6352820    -0.65378113
      29.848695     -1.6007623    -0.65452867
      29.850367     -1.5662405    -0.65527536
      29.852001     -1.5317166    -0.65602119
      29.853596     -1.4971908    -0.65676617
      29.855152     -1.4626630    -0.65751029
      29.856669     -1.4281333    -0.65825355
      29.858147     -1.3936017    -0.65899596
      29.859586     -1.3590684    -0.65973751
      29.860986     -1.3245332    -0.66047819
      29.862348     -1.2899963    -0.66121802
      29.863670     -1.2554577    -0.66195698
      29.864953     -1.2209175    -0.66269508
      29.866198     -1.1863757    -0.66343231
      29.867403     -1.1518324    -0.66416868
      29.868570     -1.1172875    -0.66490419
      29.869697     -1.0827412    -0.66563882
      29.870786     -1.0481935    -0.66637259
      29.871835     -1.0136444    -0.66710549
      29.872846    -0.97909396    -0.66783752
      29.873818    -0.94454226    -0.66856868
      29.874750    -0.90998933    -0.66929896
      29.875644    -0.87543522    -0.67002838
      29.876499    -0.84087996    -0.67075691
      29.877315    -0.80632360    -0.67148458
      29.878092    -0.77176619    -0.67221137
      29.878830    -0.73720777    -0.67293728
      29.879529    -0.70264839    -0.67366231
      29.880188    -0.66808810    -0.67438647
      29.880809    -0.63352693    -0.67510974
      29.881391    -0.59896494    -0.67583214
      29.881935    -0.56440216    -0.67655365
      29.882439    -0.52983865    -0.67727428
      29.882904    -0.49527445    -0.67799403
      29.883330    -0.46070960    -0.67871289
      29.883717    -0.42614415    -0.67943086
      29.884065    -0.39157815    -0.68014795
      29.884374    -0.35701163    -0.68086416
      29.884644    -0.32244465    -0.68157947
      29.884875    -0.28787725    -0.68229390
      29.885068    -0.25330947    -0.68300743
      29.885221    -0.21874137    -0.68372008
      29.885335    -0.18417298    -0.68443183
      29.885410    -0.14960434    -0.68514269
      29.885446    -0.11503552    -0.68585266
      29.885444   -0.080466545    -0.68656173
      29.885402   -0.045897467    -0.68726990
      29.885321   -0.011328329    -0.68797718
      29.885202    0.023240822    -0.68868356
      29.885043    0.057809942    -0.68938904
      29.884845    0.092378985    -0.69009363
      29.884608     0.12694791    -0.69079731
      29.884333     0.16151666    -0.69150009
      29.884018     0.19608520    -0.69220197
      29.883664     0.23065349    -0.69290295
      29.883272     0.26522147    -0.69360302
      29.882840     0.29978911    -0.69430218
      29.882370     0.33435635    -0.69500044
      29.881860     0.36892316    -0.69569780
      29.881311     0.40348948    -0.69639424
      29.880724     0.43805527    -0.69708978
      29.880097     0.47262049    -0.69778441
      29.879432     0.50718509    -0.69847813
      29.878727     0.54174903    -0.69917093
      29.877984     0.57631226    -0.69986282
      29.877201     0.61087474    -0.70055380
      29.876379     0.64543641    -0.70124387
      29.875519     0.67999725    -0.70193302
      29.874619     0.71455719    -0.70262126
      29.873681     0.74911620    -0.70330857
      29.872704     0.78367423    -0.70399497
      29.871687     0.81823123    -0.70468045
      29.870632     0.85278716    -0.70536502
      29.869537     0.88734198    -0.70604866
      29.868404     0.92189564    -0.70673138
      29.867232     0.95644809    -0.70741317
      29.866020     0.99099929    -0.70809405
      29.864770      1.0255492    -0.70877400
      29.863481      1.0600978    -0.70945302
      29.862152      1.0946449    -0.71013112
      29.860785      1.1291907    -0.71080829
      29.859379      1.1637350    -0.71148454
      29.857934      1.1982777    -0.71215986
      29.856450      1.2328189    -0.71283424
      29.854927      1.2673585    -0.71350770
      29.853365      1.3018964    -0.71418022
      29.851764      1.3364326    -0.71485182
      29.850124      1.3709671    -0.71552247
      29.848445      1.4054997    -0.71619220
      29.846727      1.4400306    -0.71686099
      29.844970      1.4745595    -0.71752885
      29.843174      1.5090866    -0.71819577
      29.841340      1.5436116    -0.71886175
      29.839466      1.5781346    -0.71952679
      29.837553      1.6126556    -0.72019089
      29.835602      1.6471745    -0.72085406
      29.833611      1.6816912    -0.72151628
      29.831582      1.7162057    -0.72217756
      29.829513      1.7507180    -0.72283790
      29.827406      1.7852280    -0.72349730
      29.825260      1.8197356    -0.72415575
      29.823075      1.8542409    -0.72481325
      29.820851      1.8887437    -0.72546981
      29.818588      1.9232441    -0.72612542
      29.816286      1.9577420    -0.72678009
      29.813945      1.9922373    -0.72743380
      29.811565      2.0267300    -0.72808657
      29.809146      2.0612200    -0.72873839
      29.806689      2.0957074    -0.72938925
      29.804192      2.1301920    -0.73003916
      29.801657      2.1646739    -0.73068812
      29.799083      2.1991529    -0.73133613
      29.796469      2.2336290    -0.73198318
      29.793817      2.2681022    -0.73262927
      29.791126      2.3025725    -0.73327441
      29.788396      2.3370397    -0.73391859
      29.785628      2.3715039    -0.73456182
      29.782820      2.4059650    -0.73520408
      29.779974      2.4404230    -0.73584539
      29.777088      2.4748777    -0.73648573
      29.774164      2.5093292    -0.73712511
      29.771201      2.5437775    -0.73776354
      29.768199      2.5782224    -0.73840099
      29.765158      2.6126640    -0.73903749
      29.762078      2.6471021    -0.73967302
      29.758960      2.6815368    -0.74030758
      29.755803      2.7159680    -0.74094117
      29.752606      2.7503956    -0.74157380
      29.749371      2.7848196    -0.74220547
      29.746097      2.8192400    -0.74283616
      29.742785      2.8536567    -0.74346588
      29.739433      2.8880697    -0.74409463
      29.736043      2.9224789    -0.74472241
      29.732614      2.9568843    -0.74534922
      29.729146      2.9912859    -0.74597506
      29.725639      3.0256835    -0.74659992
      29.722093      3.0600771    -0.74722380
      29.718509      3.0944668    -0.74784672
      29.714885      3.1288524    -0.74846865
      29.711223      3.1632340    -0.74908961
      29.707523      3.1976114    -0.74970959
      29.703783      3.2319846    -0.75032859
      29.700005      3.2663536    -0.75094661
      29.696188      3.3007184    -0.75156365
      29.692332      3.3350788    -0.75217971
      29.688437      3.3694349    -0.75279479
      29.684504      3.4037865    -0.75340888
      29.680532      3.4381338    -0.75402199
      29.676521      3.4724765    -0.75463412
      29.672471      3.5068147    -0.75524526
      29.668383      3.5411483    -0.75585542
      29.664256      3.5754773    -0.75646459
      29.660090      3.6098016    -0.75707277
      29.655885      3.6441212    -0.75767996
      29.651642      3.6784360    -0.75828617
      29.647360      3.7127461    -0.75889138
      29.643039      3.7470513    -0.75949560
      29.638680      3.7813516    -0.76009883
      29.634282      3.8156469    -0.76070107
      29.629845      3.8499373    -0.76130232
      29.625370      3.8842226    -0.76190257
      29.620856      3.9185029    -0.76250183
      29.616303      3.9527780    -0.76310009
      29.611712      3.9870480    -0.76369736
      29.607082      4.0213128    -0.76429363
      29.602413      4.0555723    -0.76488890
      29.597706      4.0898266    -0.76548317
      29.592960      4.1240755    -0.76607644
      29.588175      4.1583190    -0.76666871
      29.583352      4.1925570    -0.76725999
      29.578490      4.2267896    -0.76785026
      29.573589      4.2610167    -0.76843952
      29.568650      4.2952382    -0.76902779
      29.563673      4.3294541    -0.76961505
      29.558656      4.3636643    -0.77020131
      29.553601      4.3978689    -0.77078656
      29.548508      4.4320677    -0.77137080
      29.543376      4.4662607    -0.77195404
      29.538205      4.5004479    -0.77253627
      29.532996      4.5346292    -0.77311749
      29.527748      4.5688046    -0.77369770
      29.522462      4.6029740    -0.77427690
      29.517137      4.6371374    -0.77485509
      29.511774      4.6712947    -0.77543227
      29.506372      4.7054460    -0.77600844
      29.500932      4.7395911    -0.77658359
      29.495453      4.7737300    -0.77715773
      29.489936      4.8078627    -0.77773086
      29.484380      4.8419891    -0.77830297
      29.478786      4.8761092    -0.77887406
      29.473153      4.9102229    -0.77944414
      29.467482      4.9443302    -0.78001320
      29.461772      4.9784310    -0.78058124
      29.456024      5.0125254    -0.78114826
      29.450237      5.0466132    -0.78171427
      29.444412      5.0806944    -0.78227925
      29.438548      5.1147690    -0.78284321
      29.432646      5.1488369    -0.78340615
      29.426706      5.1828980    -0.78396807
      29.420727      5.2169524    -0.78452896
      29.414710      5.2510000    -0.78508883
      29.408654      5.2850408    -0.78564767
      29.402560      5.3190746    -0.78620549
      29.396428      5.3531015    -0.78676228
      29.390257      5.3871214    -0.78731805
      29.384048      5.4211343    -0.78787279
      29.377801      5.4551401    -0.78842650
      29.371515      5.4891387    -0.78897918
      29.365191      5.5231302    -0.78953083
      29.358829      5.5571145    -0.79008145
      29.352428      5.5910916    -0.79063104
      29.345989      5.6250613    -0.79117959
      29.339512      5.6590237    -0.79172712
      29.332996      5.6929787    -0.79227361
      29.326442      5.7269263    -0.79281907
      29.319850      5.7608664    -0.79336349
      29.313219      5.7947990    -0.79390687
      29.306551      5.8287240    -0.79444922
      29.299844      5.8626414    -0.79499054
      29.293098      5.8965511    -0.79553081
      29.286315      5.9304532    -0.79607005
      29.279493      5.9643475    -0.79660825
      29.272633      5.9982340    -0.79714541
      29.265735      6.0321127    -0.79768153
      29.258799      6.0659835    -0.79821660
      29.251825      6.0998464    -0.79875064
      29.244812      6.1337014    -0.79928363
      29.237761      6.1675483    -0.79981558
      29.230672      6.2013872    -0.80034649
      29.223545      6.2352180    -0.80087635
      29.216380      6.2690406    -0.80140517
      29.209177      6.3028551    -0.80193294
      29.201935      6.3366613    -0.80245966
      29.194656      6.3704593    -0.80298534
      29.187338      6.4042489    -0.80350997
      29.179982      6.4380302    -0.80403355
      29.172588      6.4718031    -0.80455608
      29.165156      6.5055676    -0.80507756
      29.157686      6.5393235    -0.80559799
      29.150178      6.5730709    -0.80611737
      29.142632      6.6068098    -0.80663570
      29.135048      6.6405400    -0.80715297
      29.127426      6.6742615    -0.80766919
      29.119766      6.7079744    -0.80818436
      29.112068      6.7416785    -0.80869847
      29.104332      6.7753737    -0.80921153
      29.096558      6.8090602    -0.80972353
      29.088746      6.8427377    -0.81023448
      29.080896      6.8764064    -0.81074437
      29.073008      6.9100660    -0.81125320
      29.065082      6.9437166    -0.81176097
      29.057119      6.9773582    -0.81226768
      29.049117      7.0109907    -0.81277333
      29.041077      7.0446140    -0.81327793
      29.033000      7.0782281    -0.81378146
