    N   =   10000
      x:            y:             z:          PE:            KE:
      9.8263544      16.849366   -0.064664281
      9.7890065      16.869241   -0.064106301
      9.7516126      16.889037   -0.063548019
      9.7141729      16.908754   -0.062989437
      9.6766875      16.928391   -0.062430559
      9.6391566      16.947949   -0.061871387
      9.6015803      16.967426   -0.061311923
      9.5639589      16.986824   -0.060752170
      9.5262924      17.006143   -0.060192130
      9.4885811      17.025381   -0.059631806
      9.4508251      17.044539   -0.059071201
      9.4130246      17.063617   -0.058510317
      9.3751797      17.082614   -0.057949157
      9.3372907      17.101531   -0.057387722
      9.2993576      17.120368   -0.056826017
      9.2613807      17.139124   -0.056264043
      9.2233601      17.157799   -0.055701803
      9.1852961      17.176393   -0.055139300
      9.1471886      17.194906   -0.054576536
      9.1090380      17.213338   -0.054013513
      9.0708444      17.231689   -0.053450235
      9.0326080      17.249958   -0.052886704
      8.9943289      17.268147   -0.052322923
      8.9560074      17.286253   -0.051758893
      8.9176435      17.304278   -0.051194619
      8.8792374      17.322222   -0.050630102
      8.8407894      17.340083   -0.050065344
      8.8022996      17.357863   -0.049500349
      8.7637682      17.375560   -0.048935120
      8.7251953      17.393175   -0.048369658
      8.6865811      17.410709   -0.047803967
      8.6479258      17.428159   -0.047238049
      8.6092295      17.445528   -0.046671906
      8.5704925      17.462813   -0.046105542
      8.5317149      17.480016   -0.045538958
      8.4928969      17.497137   -0.044972159
      8.4540386      17.514174   -0.044405145
      8.4151403      17.531129   -0.043837920
      8.3762021      17.548000   -0.043270487
      8.3372241      17.564788   -0.042702847
      8.2982066      17.581493   -0.042135005
      8.2591498      17.598115   -0.041566962
      8.2200537      17.614653   -0.040998721
      8.1809186      17.631107   -0.040430284
      8.1417447      17.647478   -0.039861655
      8.1025321      17.663766   -0.039292836
      8.0632811      17.679969   -0.038723830
      8.0239917      17.696088   -0.038154639
      7.9846642      17.712123   -0.037585266
      7.9452987      17.728075   -0.037015713
      7.9058955      17.743941   -0.036445984
      7.8664546      17.759724   -0.035876081
      7.8269764      17.775422   -0.035306006
      7.7874609      17.791036   -0.034735763
      7.7479083      17.806565   -0.034165354
      7.7083189      17.822009   -0.033594781
      7.6686927      17.837368   -0.033024048
      7.6290301      17.852643   -0.032453157
      7.5893310      17.867832   -0.031882110
      7.5495959      17.882937   -0.031310911
      7.5098247      17.897956   -0.030739562
      7.4700178      17.912890   -0.030168066
      7.4301752      17.927738   -0.029596425
      7.3902972      17.942501   -0.029024642
      7.3503839      17.957179   -0.028452721
      7.3104356      17.971770   -0.027880662
      7.2704523      17.986277   -0.027308470
      7.2304344      18.000697   -0.026736147
      7.1903819      18.015031   -0.026163696
      7.1502951      18.029279   -0.025591119
      7.1101741      18.043442   -0.025018419
      7.0700192      18.057518   -0.024445599
      7.0298304      18.071507   -0.023872661
      6.9896081      18.085411   -0.023299609
      6.9493523      18.099228   -0.022726444
      6.9090632      18.112958   -0.022153170
      6.8687412      18.126602   -0.021579790
      6.8283862      18.140159   -0.021006305
      6.7879986      18.153629   -0.020432720
      6.7475784      18.167012   -0.019859035
      6.7071260      18.180309   -0.019285256
      6.6666414      18.193518   -0.018711383
      6.6261249      18.206640   -0.018137419
      6.5855766      18.219675   -0.017563369
      6.5449967      18.232623   -0.016989233
      6.5043855      18.245483   -0.016415015
      6.4637431      18.258255   -0.015840718
      6.4230696      18.270941   -0.015266345
      6.3823654      18.283538   -0.014691897
      6.3416305      18.296048   -0.014117378
      6.3008652      18.308470   -0.013542791
      6.2600696      18.320804   -0.012968139
      6.2192439      18.333050   -0.012393423
      6.1783884      18.345208   -0.011818647
      6.1375032      18.357278   -0.011243814
      6.0965885      18.369260   -0.010668926
      6.0556444      18.381153   -0.010093987
      6.0146713      18.392958  -0.0095189979
      5.9736692      18.404675  -0.0089439627
      5.9326384      18.416303  -0.0083688839
      5.8915790      18.427842  -0.0077937642
      5.8504912      18.439293  -0.0072186064
      5.8093753      18.450655  -0.0066434132
      5.7682315      18.461929  -0.0060681875
      5.7270598      18.473113  -0.0054929320
      5.6858605      18.484208  -0.0049176494
      5.6446339      18.495214  -0.0043423426
      5.6033800      18.506132  -0.0037670142
      5.5620991      18.516960  -0.0031916671
      5.5207914      18.527698  -0.0026163041
      5.4794571      18.538347  -0.0020409278
      5.4380963      18.548907  -0.0014655412
      5.3967093      18.559378 -0.00089014688
      5.3552962      18.569758 -0.00031474774
      5.3138572      18.580050  0.00026065349
      5.2723926      18.590251  0.00083605402
      5.2309026      18.600363   0.0014114511
      5.1893872      18.610384   0.0019868418
      5.1478468      18.620316   0.0025622236
      5.1062814      18.630158   0.0031375935
      5.0646914      18.639910   0.0037129487
      5.0230769      18.649571   0.0042882866
      4.9814381      18.659143   0.0048636042
      4.9397752      18.668624   0.0054388989
      4.8980884      18.678015   0.0060141678
      4.8563778      18.687315   0.0065894081
      4.8146437      18.696525   0.0071646170
      4.7728864      18.705644   0.0077397918
      4.7311059      18.714673   0.0083149296
      4.6893024      18.723611   0.0088900277
      4.6474762      18.732459   0.0094650832
      4.6056275      18.741215    0.010040093
      4.5637565      18.749881    0.010615055
      4.5218633      18.758456    0.011189966
