    N   =   10000
      x:            y:             z:          PE:            KE:
      1.3263000     0.48091000   -0.022650000
      1.2725019     0.63533991   -0.018094091
      1.2033162     0.78219953   -0.013319346
      1.1199355     0.91995244  -0.0083872012
      1.0236956      1.0472718  -0.0033582091
     0.91603466      1.1630471   0.0017090935
     0.79845601      1.2663835   0.0067590887
     0.67249427      1.3565939    0.011739751
     0.53968646      1.4331879    0.016603108
     0.40154808      1.4958559    0.021305507
     0.25955411      1.5444525    0.025807730
     0.11512457      1.5789791    0.030074975
   -0.030385861      1.5995657    0.034076746
    -0.17569478      1.6064549    0.037786673
    -0.31959613      1.5999861    0.041182285
    -0.46096200      1.5805813    0.044244759
    -0.59874263      1.5487326    0.046958663
    -0.73196525      1.5049917    0.049311690
    -0.85973180      1.4499598    0.051294413
    -0.98121630      1.3842803    0.052900052
     -1.0956617      1.3086319    0.054124256
     -1.2023767      1.2237232    0.054964915
     -1.3007325      1.1302884    0.055421989
     -1.3901602      1.0290837    0.055497366
     -1.4701476     0.92088520    0.055194738
     -1.5402370     0.80648626    0.054519504
     -1.6000233     0.68669670    0.053478692
     -1.6491524     0.56234169    0.052080903
     -1.6873203     0.43426132    0.050336278
     -1.7142722     0.30331038    0.048256477
     -1.7298028     0.17035839    0.045854680
     -1.7337568    0.036289742    0.043145605
     -1.7260301   -0.097996153    0.040145538
     -1.7065714    -0.23158474    0.036872381
     -1.6753846    -0.36354638    0.033345707
     -1.6325323    -0.49293663    0.029586831
     -1.5781388    -0.61879699    0.025618884
     -1.5123951    -0.74015608    0.021466897
     -1.4355634    -0.85603162    0.017157882
     -1.3479833    -0.96543315    0.012720914
     -1.2500776     -1.0673659   0.0081871997
     -1.1423591     -1.1608361   0.0035901364
     -1.0254375     -1.2448573  -0.0010346601
    -0.90002655     -1.3184593  -0.0056493589
    -0.76695088     -1.3806981   -0.010213967
    -0.62715207     -1.4306695   -0.014686445
    -0.48169387     -1.4675234   -0.019022901
    -0.33176555     -1.4904824   -0.023177882
    -0.17868278     -1.4988618   -0.027104780
   -0.023885173     -1.4920925   -0.030756365
     0.13107036     -1.4697452   -0.034085468
     0.28452140     -1.4315570   -0.037045806
     0.43471779     -1.3774564   -0.039592966
     0.57984592     -1.3075885   -0.041685509
     0.71805985     -1.2223359   -0.043286182
     0.84751891     -1.1223355   -0.044363186
     0.96643091     -1.0084873   -0.044891425
      1.0730994    -0.88195452   -0.044853663
      1.1659725    -0.74415301   -0.044241505
      1.2436903    -0.59672966   -0.043056104
      1.3051284    -0.44152924   -0.041308531
      1.3494331    -0.28055161   -0.039019748
      1.3760469    -0.11590129   -0.036220173
      1.3847220    0.050267672   -0.032948855
      1.3755203     0.21580776   -0.029252305
      1.3488021     0.37863179   -0.025183084
      1.3052028     0.53676109   -0.020798229
      1.2456017     0.68836582   -0.016157637
      1.1710845     0.83179604   -0.011322503
      1.0829029     0.96560287  -0.0063538787
     0.98243374      1.0885501  -0.0013114260
     0.87113986      1.1996176   0.0037476084
     0.75053404      1.2979970   0.0087691922
     0.62214763      1.3830827    0.013703080
     0.48750397      1.4544578    0.018503185
     0.34809678      1.5118787    0.023127772
     0.20537330      1.5552576    0.027539508
    0.060721817      1.5846451    0.031705408
   -0.084537119      1.6002127    0.035596683
    -0.22915626      1.6022374    0.039188545
    -0.37196466      1.5910862    0.042459973
    -0.51186871      1.5672035    0.045393453
    -0.64785155      1.5310988    0.047974725
    -0.77897145      1.4833370    0.050192527
    -0.90435942      1.4245296    0.052038358
     -1.0232163      1.3553272    0.053506254
     -1.1348099      1.2764139    0.054592586
     -1.2384713      1.1885023    0.055295879
     -1.3335927      1.0923292    0.055616665
     -1.4196237     0.98865320    0.055557337
     -1.4960695     0.87825215    0.055122055
     -1.5624881     0.76192142    0.054316644
     -1.6184893     0.64047295    0.053148541
     -1.6637327     0.51473450    0.051626742
     -1.6979275     0.38554937    0.049761777
     -1.7208316     0.25377630    0.047565706
     -1.7322527     0.12028957    0.045052122
     -1.7320485   -0.014020816    0.042236183
