    N   =   10000
      x:            y:             z:          PE:            KE:
    -0.14220000     0.71230000    0.017600000
    -0.35404418     0.63601779    0.028779779
    -0.53341387     0.50096054    0.037281495
    -0.66437002     0.32047814    0.042368000
    -0.73651544     0.11191423    0.043676590
    -0.74565465    -0.10577211    0.041224543
    -0.69345770    -0.31417221    0.035360088
    -0.58648203    -0.49703382    0.026683988
    -0.43494187    -0.64123495    0.015965202
    -0.25150771    -0.73723782   0.0040653954
   -0.050275357    -0.77920152  -0.0081220946
     0.15407017    -0.76491797   -0.019719631
     0.34693886    -0.69568639   -0.029903049
     0.51444197    -0.57618557   -0.037934889
     0.64400065    -0.41435133   -0.043197846
     0.72502733    -0.22121915   -0.045231939
     0.74972320   -0.010646647   -0.043776730
     0.71398379     0.20120747   -0.038816452
     0.61832175     0.39678938   -0.030620865
     0.46860505     0.55854746   -0.019768730
     0.27630460     0.67080710  -0.0071364509
    0.057923513     0.72189540   0.0061639346
    -0.16657354     0.70605034    0.018901510
    -0.37618447     0.62453980    0.029881680
    -0.55162969     0.48557524    0.038104250
    -0.67775100     0.30300962    0.042884042
    -0.74500339    0.094233246    0.043908193
    -0.74987148    -0.12212482    0.041228734
    -0.69440439    -0.32818022    0.035208609
    -0.58523661    -0.50821026    0.026445791
    -0.43244314    -0.64949626    0.015695691
    -0.24845666    -0.74272241   0.0038032089
   -0.047145052    -0.78209856  -0.0083521704
     0.15694739    -0.76534984   -0.019900026
     0.34924597    -0.69366691   -0.030015601
     0.51575378    -0.57165941   -0.037954258
     0.64370080    -0.40730526   -0.043088252
     0.72230081    -0.21184088   -0.044948900
     0.74365024  0.00051063015   -0.043274733
     0.70374083     0.21311450   -0.038062070
     0.60345937     0.40795251   -0.029608635
     0.44932449     0.56719468   -0.018534562
     0.25361605     0.67524495  -0.0057618772
    0.033576076     0.72094604   0.0075617895
    -0.19042108     0.69940453    0.020193766
    -0.39745611     0.61286527    0.030957608
    -0.56879819     0.47032476    0.038895546
    -0.69010110     0.28601766    0.043374501
    -0.75262641    0.077275465    0.044127370
    -0.75345036    -0.13765380    0.041235129
    -0.69491233    -0.34140175    0.035070430
    -0.58366391    -0.51872628    0.026225668
    -0.42961952    -0.65724774    0.015442355
    -0.24498703    -0.74781323   0.0035501963
   -0.043443389    -0.78464209  -0.0085824730
     0.16055823    -0.76537465   -0.020089335
     0.35240669    -0.69109988   -0.030142145
     0.51795272    -0.56638892   -0.037986958
     0.64420863    -0.39931280   -0.042984750
     0.72019078    -0.20137232   -0.044659077
     0.73792796    0.012782387   -0.042750425
     0.69358149     0.22600243   -0.037271945
     0.58850714     0.41981446   -0.028554664
     0.42995761     0.57618017   -0.017263943
     0.23105126     0.67970012  -0.0043675133
   0.0097170877     0.71985378   0.0089560591
    -0.21338188     0.69268164    0.021460223
    -0.41754512     0.60137998    0.031994186
    -0.58467805     0.45562837    0.039646251
    -0.70125236     0.26991772    0.043834063
    -0.75927288    0.061426780    0.044331334
    -0.75631421    -0.15201261    0.041242124
    -0.69492188    -0.35352813    0.034944210
    -0.58171235    -0.52830463    0.026022132
    -0.42642432    -0.66423777    0.015203505
    -0.24105710    -0.75228138   0.0033045441
   -0.039134424    -0.78662587  -0.0088148577
     0.16493278    -0.76481102   -0.020289446
     0.35644655    -0.68783263   -0.030284697
     0.52106328    -0.56025558   -0.038035378
     0.64555467    -0.39029607   -0.042890579
     0.71874680    -0.18978207   -0.044367366
     0.73264512    0.026152916   -0.042211513
     0.68365896     0.23981951   -0.036457894
     0.57370490     0.43231562   -0.027475781
     0.41083685     0.58548042   -0.015978463
     0.20901360     0.68423189  -0.0029778399
   -0.013227618     0.71878905    0.010322533
    -0.23506538     0.68615737    0.022680163
    -0.43613832     0.59042635    0.032976050
    -0.59904373     0.44184281    0.040346194
    -0.71104717     0.25503743    0.044255970
    -0.76481767    0.046964445    0.044514365
    -0.75833529    -0.16497277    0.041242987
    -0.69427804    -0.36436257    0.034820972
    -0.57918847    -0.53675653    0.025823591
    -0.42262650    -0.67026188    0.014965263
    -0.23640842    -0.75588679   0.0030509090
   -0.033949071    -0.78776011  -0.0090650120
     0.17032950    -0.76331243   -0.020515104
     0.36158992    -0.68346342   -0.030455754
     0.52525318    -0.55281367   -0.038108632
     0.64783299    -0.37978665   -0.042810782
     0.71798320    -0.17660763   -0.044074776
     0.72774559    0.041049197   -0.041655886
     0.67387063     0.25493665   -0.035616317
     0.55893409     0.44576819   -0.026368651
     0.39185053     0.59536484   -0.014676099
     0.18740175     0.68909031  -0.0015919632
   -0.035363876     0.71799602    0.011662088
    -0.25560052     0.68006290    0.023855495
    -0.45339272     0.58019999    0.033906200
    -0.61206526     0.42910594    0.040998363
    -0.71964045     0.24144905    0.044641545
    -0.76937279    0.033905587    0.044674714
    -0.75956535    -0.17654905    0.041232265
    -0.69296897    -0.37392452    0.034691775
    -0.57602568    -0.54408219    0.025618480
    -0.41812154    -0.67528443    0.014714644
    -0.23091898    -0.75854998   0.0027761706
   -0.027768628    -0.78792184  -0.0093450088
     0.17684508    -0.76072045   -0.020776388
     0.36789720    -0.67781344   -0.030662818
     0.53053966    -0.54388515   -0.038211588
     0.65102189    -0.36763181   -0.042748225
     0.71785797    -0.16174389   -0.043783602
     0.72319976    0.057517805   -0.041087379
     0.66423906     0.27135213   -0.034754811
     0.54430086     0.46015788   -0.025246025
     0.37319396     0.60585951   -0.013374422
     0.16647144     0.69439095 -0.00023000731
   -0.056428941     0.71770248    0.012955385
    -0.27477234     0.67472572    0.024970613
    -0.46917605     0.57109018    0.034774231
    -0.62370090     0.41782505    0.041597399
    -0.72706863     0.22954394    0.044989297
