    N   =   10000
      x:            y:             z:          PE:            KE:
      2.5308000     -4.4450000   -0.031818000
      2.6012597     -4.3996248   -0.033583270
      2.6710428     -4.3531065   -0.035339803
      2.7401298     -4.3054546   -0.037087121
      2.8085011     -4.2566790   -0.038824749
      2.8761371     -4.2067901   -0.040552210
      2.9430187     -4.1557985   -0.042269030
      3.0091266     -4.1037152   -0.043974736
      3.0744418     -4.0505518   -0.045668854
      3.1389454     -3.9963200   -0.047350914
      3.2026187     -3.9410318   -0.049020447
      3.2654431     -3.8847000   -0.050676984
      3.3274004     -3.8273372   -0.052320062
      3.3884724     -3.7689568   -0.053949216
      3.4486410     -3.7095723   -0.055563986
      3.5078885     -3.6491978   -0.057163913
      3.5661973     -3.5878475   -0.058748542
      3.6235502     -3.5255360   -0.060317421
      3.6799299     -3.4622784   -0.061870101
      3.7353198     -3.3980900   -0.063406134
      3.7897030     -3.3329865   -0.064925080
      3.8430633     -3.2669840   -0.066426499
      3.8953845     -3.2000986   -0.067909957
      3.9466509     -3.1323473   -0.069375024
      3.9968468     -3.0637469   -0.070821273
      4.0459570     -2.9943147   -0.072248282
      4.0939665     -2.9240684   -0.073655636
      4.1408606     -2.8530260   -0.075042921
      4.1866250     -2.7812056   -0.076409732
      4.2312456     -2.7086258   -0.077755667
      4.2747087     -2.6353055   -0.079080329
      4.3170008     -2.5612637   -0.080383329
      4.3581090     -2.4865198   -0.081664281
      4.3980205     -2.4110934   -0.082922809
      4.4367228     -2.3350046   -0.084158539
      4.4742041     -2.2582735   -0.085371106
      4.5104527     -2.1809204   -0.086560150
      4.5454572     -2.1029662   -0.087725321
      4.5792068     -2.0244316   -0.088866271
      4.6116910     -1.9453378   -0.089982663
      4.6428997     -1.8657062   -0.091074165
      4.6728230     -1.7855584   -0.092140455
      4.7014517     -1.7049160   -0.093181216
      4.7287769     -1.6238011   -0.094196140
      4.7547899     -1.5422358   -0.095184927
      4.7794827     -1.4602424   -0.096147283
      4.8028476     -1.3778435   -0.097082926
      4.8248773     -1.2950616   -0.097991579
      4.8455650     -1.2119196   -0.098872976
      4.8649042     -1.1284404   -0.099726856
      4.8828890     -1.0446471    -0.10055297
      4.8995138    -0.96056284    -0.10135108
      4.9147735    -0.87621101    -0.10212095
      4.9286634    -0.79161498    -0.10286235
      4.9411794    -0.70679826    -0.10357509
      4.9523175    -0.62178442    -0.10425893
      4.9620746    -0.53659714    -0.10491371
      4.9704476    -0.45126012    -0.10553922
      4.9774343    -0.36579716    -0.10613529
      4.9830326    -0.28023206    -0.10670175
      4.9872409    -0.19458867    -0.10723845
      4.9900583    -0.10889088    -0.10774525
      4.9914841   -0.023162574    -0.10822199
      4.9915182    0.062572364    -0.10866856
      4.9901608     0.14829005    -0.10908483
      4.9874127     0.23396661    -0.10947070
      4.9832750     0.31957821    -0.10982608
      4.9777496     0.40510105    -0.11015086
      4.9708384     0.49051137    -0.11044498
      4.9625440     0.57578547    -0.11070836
      4.9528694     0.66089974    -0.11094096
      4.9418180     0.74583060    -0.11114271
      4.9293938     0.83055461    -0.11131359
      4.9156011     0.91504838    -0.11145356
      4.9004446     0.99928864    -0.11156261
      4.8839295      1.0832523    -0.11164073
      4.8660615      1.1669162    -0.11168792
      4.8468466      1.2502576    -0.11170420
